"name","link","genes","ghits","mhits","mthits"
"Catalytic cycle of mammalian FMOs","http://wikipathways.org/instance/WP688","2329,101060372,2330,2326,2327,2328","","","hsa-miR-320a,hsa-miR-26b-5p"
"Glucuronidation","http://wikipathways.org/instance/WP698","54575,54576,54577,54578,55276,54490,54579,7358,10941,3098,574537,54600,7360,10720,5236,7365,7364,5238,7363,5239,79799,54657,7367,54658,7366,54659","","","hsa-miR-124-3p,hsa-miR-1,hsa-miR-375,hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-335-5p,hsa-miR-155-5p,hsa-miR-9-5p,hsa-miR-30a-5p,hsa-miR-26b-5p,hsa-miR-24-3p,hsa-miR-92a-3p,hsa-miR-1296-5p,hsa-miR-615-3p,hsa-miR-99b-5p,hsa-miR-23b-3p,hsa-miR-10b-5p,hsa-miR-10a-5p,hsa-miR-93-5p,hsa-let-7b-5p,hsa-miR-193b-3p,hsa-miR-32-5p,hsa-miR-106b-5p,hsa-miR-30b-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-455-3p,hsa-miR-125a-5p,hsa-miR-142-3p"
"Hematopoietic Stem Cell Differentiation","http://wikipathways.org/instance/WP2849","2056,4851,100422842,23650,2815,100616273,4254,407012,3674,7852,2993,7409,6688,3690,3552,28,4602,10661,4601,6776,407008,7173,8780,407006,406942,1437,10320,861,4778,1435,406952,406902,2624,3562,406950,2623,863,2313,406995,3071,3757,1440,3553,406947,406919,406915,91,574411,100506403,4773,3567,2353,4066,3569,4005","100422842,100616273,100616273,407008,407006,406952,406902,406950,406995,406947,406919,574411,574411","hsa-mir-3074,hsa-mir-451a,hsa-mir-451b,hsa-mir-223,hsa-mir-221,hsa-mir-17,hsa-mir-10a,hsa-mir-16-1,hsa-mir-181a-1,hsa-mir-155,hsa-mir-130a,hsa-mir-451a,hsa-mir-451b","hsa-miR-34c-5p,hsa-miR-34b-3p,hsa-miR-449a,hsa-miR-27b-3p,hsa-miR-24-3p,hsa-miR-23b-3p,hsa-miR-34a-5p,hsa-miR-30a-5p,hsa-miR-326,hsa-miR-129-5p,hsa-miR-144-3p,hsa-miR-10b-5p,hsa-miR-181a-5p,hsa-miR-124-3p,hsa-miR-335-5p,hsa-miR-122-5p,hsa-miR-185-5p,hsa-miR-222-3p,hsa-miR-146a-5p,hsa-miR-224-5p,hsa-miR-150-5p,hsa-miR-26b-5p,hsa-miR-155-5p,hsa-miR-569,hsa-miR-424-5p,hsa-miR-9-5p,hsa-miR-296-3p,hsa-let-7a-5p,hsa-miR-204-5p,hsa-miR-30c-5p,hsa-miR-98-5p,hsa-miR-191-5p,hsa-miR-15a-5p,hsa-miR-34b-5p,rno-miR-150-5p,hsa-miR-107,hsa-miR-16-5p,hsa-miR-193b-3p,hsa-miR-215-5p,hsa-miR-198,hsa-miR-192-5p,hsa-miR-423-3p,hsa-miR-106b-5p,hsa-miR-769-3p,hsa-miR-615-3p,hsa-miR-10a-5p,hsa-let-7b-5p,hsa-miR-17-5p,hsa-miR-20a-5p,hsa-miR-106a-5p,hsa-miR-423-5p,hsa-miR-130a-3p,hsa-miR-130b-3p,hsa-miR-148b-3p,hsa-miR-505-3p,hsa-miR-30b-5p,hsa-miR-145-5p,hsa-miR-133a-3p,hsa-miR-133b,hsa-miR-7-5p,hsa-miR-21-5p,hsa-miR-210-3p,hsa-miR-182-5p,hsa-miR-197-3p,hsa-let-7c-5p,hsa-miR-184,hsa-miR-454-5p,hsa-miR-101-3p,hsa-miR-221-3p,hsa-miR-139-5p,hsa-miR-29b-3p,hsa-miR-26a-5p,hsa-miR-365a-3p,hsa-miR-1,hsa-miR-223-3p"
"Sulfation Biotransformation Reaction","http://wikipathways.org/instance/WP692","442038,2936,6783,6819,9061,9060,6818,445329,6817,6820,391365,6822,27233,27284,101060714,2539,6799,100526830,25830","","","hsa-miR-26b-5p,hsa-let-7b-5p,hsa-miR-744-5p,hsa-miR-183-5p,hsa-miR-199a-5p,hsa-miR-124-3p,hsa-miR-335-5p,hsa-miR-7-5p,hsa-miR-100-5p,hsa-miR-18a-5p,hsa-miR-18a-3p,hsa-miR-631,hsa-miR-24-3p,hsa-miR-1,hsa-miR-92b-3p"
"miRNAs involved in DNA damage response","http://wikipathways.org/instance/WP1545","406971,100126317,1869,100616173,5893,100422842,407011,406886,407010,406888,407012,406884,407019,407018,406881,407050,407014,406982,406937,100313923,406935,494336,100126302,406986,1385,25,406980,574506,406900,574505,472,407048,406979,407008,407007,407006,407041,407042,4609,406955,406991,406953,406952,406950,1027,442902,1026,406995,406992,693122,554213,693123,406949,84909,595,574456,3014,442916,442917,7157,442918,1021,100507319,664617,407024,993,100500807,407021,407026,406892,898,896","406971,100422842,407011,407010,406884,407018,407050,407014,406982,406937,100313923,406935,406986,406980,574506,406900,407048,406979,407008,407007,407006,406955,406991,406952,406950,442902,406995,406992,554213,693123,406949,574456,442916,442917,442918,407024,406892","hsa-mir-195,hsa-mir-3074,hsa-mir-23b,hsa-mir-23a,hsa-let-7b,hsa-mir-27a,hsa-mir-93,hsa-mir-25,hsa-mir-20a,hsa-mir-145,hsa-mir-449c,hsa-mir-143,hsa-mir-203a,hsa-mir-19b-1,hsa-mir-503,hsa-mir-106b,hsa-mir-92a-1,hsa-mir-19a,hsa-mir-223,hsa-mir-222,hsa-mir-221,hsa-mir-181b-1,hsa-mir-21,hsa-mir-17,hsa-mir-16-1,hsa-mir-330,hsa-mir-181a-1,hsa-mir-210,hsa-mir-449a,hsa-mir-449b,hsa-mir-15b,hsa-mir-497,hsa-mir-371a,hsa-mir-372,hsa-mir-373,hsa-mir-29b-1,hsa-mir-100","hsa-miR-20a-5p,hsa-miR-106a-5p,hsa-miR-223-3p,hsa-miR-330-3p,hsa-miR-98-5p,hsa-miR-21-5p,hsa-miR-93-5p,hsa-miR-17-5p,hsa-miR-106b-5p,hsa-miR-205-5p,hsa-miR-23b-3p,hsa-let-7a-5p,hsa-miR-34a-5p,hsa-miR-126-3p,hsa-miR-149-3p,hsa-miR-331-3p,hsa-miR-362-3p,hsa-miR-193b-3p,hsa-miR-130b-3p,hsa-miR-24-3p,hsa-miR-181b-5p,hsa-miR-10a-5p,hsa-miR-210-3p,hsa-miR-373-3p,hsa-miR-335-5p,hsa-miR-34b-5p,hsa-miR-203a,hsa-miR-103a-3p,hsa-miR-182-5p,hsa-miR-200b-3p,hsa-miR-122-5p,hsa-miR-29a-3p,hsa-miR-30a-5p,hsa-miR-484,hsa-miR-342-3p,hsa-miR-149-5p,hsa-miR-125b-5p,hsa-let-7b-5p,hsa-miR-421,hsa-miR-101-5p,hsa-miR-101-3p,hsa-miR-374a-5p,hsa-miR-181a-5p,hsa-miR-100-5p,hsa-miR-18a-5p,hsa-miR-19b-3p,hsa-miR-92a-3p,hsa-miR-3144-3p,hsa-let-7g-5p,hsa-miR-451a,hsa-let-7c-5p,hsa-miR-26a-5p,hsa-miR-145-5p,hsa-miR-34c-5p,hsa-miR-34b-3p,hsa-miR-378a-3p,hsa-miR-135a-5p,hsa-miR-449c-5p,hsa-miR-429,hsa-let-7f-5p,hsa-miR-320b,hsa-miR-744-5p,hsa-miR-423-5p,hsa-miR-320a,hsa-miR-222-3p,hsa-miR-221-3p,hsa-miR-192-5p,hsa-miR-196a-5p,hsa-miR-190a-5p,hsa-miR-218-5p,hsa-miR-128b,hsa-miR-1260b,hsa-miR-10b-5p,hsa-miR-942-5p,hsa-miR-657,hsa-miR-654-3p,hsa-miR-639,hsa-miR-572,hsa-miR-520h,hsa-miR-520b,hsa-miR-520a-3p,hsa-miR-519e-3p,hsa-miR-519d-3p,hsa-miR-519b-3p,hsa-miR-515-3p,hsa-miR-423-3p,hsa-miR-372-3p,hsa-miR-363-3p,hsa-miR-345-5p,hsa-miR-299-5p,hsa-miR-298,hsa-miR-28-5p,hsa-miR-20b-5p,hsa-miR-208b-3p,hsa-miR-208a-3p,hsa-miR-132-3p,hsa-miR-125a-5p,hsa-miR-503-5p,hsa-miR-519a-3p,hsa-miR-96-5p,hsa-miR-302a-3p,hsa-miR-146a-5p,hsa-miR-146b-5p,hsa-miR-519c-3p,hsa-miR-1229-3p,hsa-miR-505-5p,hsa-miR-195-5p,hsa-miR-424-5p,hsa-miR-16-1-3p,hsa-miR-19b-1-5p,hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-365a-3p,hsa-miR-19a-3p,hsa-miR-15b-5p,hsa-miR-449a,hsa-miR-302c-3p,hsa-miR-338-3p,hsa-miR-9-5p,hsa-miR-374b-5p,hsa-miR-425-5p,hsa-miR-155-5p,hsa-miR-1,hsa-miR-183-5p,hsa-miR-26b-5p,hsa-miR-138-5p,hsa-miR-328-3p,hsa-let-7d-5p,hsa-miR-25-3p,hsa-miR-30d-5p,hsa-miR-1285-3p,hsa-miR-612,hsa-miR-214-3p,hsa-miR-608,hsa-miR-605-5p,hsa-miR-504-5p,hsa-miR-485-5p,hsa-miR-27a-3p,hsa-miR-454-3p,hsa-miR-324-5p,hsa-miR-150-5p,hsa-miR-29b-3p,mmu-miR-124-3p,mmu-miR-137-3p,hsa-miR-107,hsa-miR-30a-3p,hsa-miR-137,hsa-miR-124-3p,hsa-miR-29c-3p,hsa-miR-185-5p,hsa-miR-191-5p,hsa-miR-449b-5p,hsa-miR-22-3p,hsa-miR-1303,hsa-miR-615-3p,hsa-miR-877-3p,hsa-miR-18a-3p,hsa-let-7i-5p,hsa-miR-215-5p,hsa-miR-151a-3p,hsa-miR-342-5p,hsa-miR-27b-3p"
"eIF5A regulation in response to inhibition of the nuclear export system","http://wikipathways.org/instance/WP3302","64328,7514,1984,10642","","","hsa-miR-98-5p,hsa-miR-877-3p,hsa-miR-18a-3p,hsa-miR-146b-5p,hsa-miR-16-5p,hsa-miR-193b-3p,hsa-miR-155-5p,hsa-miR-192-5p,hsa-miR-30a-5p,hsa-miR-1236-3p,hsa-miR-125a-5p,hsa-miR-23b-3p,hsa-miR-92a-3p,hsa-miR-17-3p,hsa-miR-877-5p,hsa-miR-296-3p,hsa-miR-769-5p,hsa-miR-423-3p,hsa-miR-181b-5p,hsa-miR-100-5p,hsa-miR-99a-5p,hsa-miR-25-3p,hsa-let-7b-5p,hsa-let-7g-5p,hsa-miR-378a-3p,hsa-miR-196a-5p,hsa-let-7d-5p,hsa-miR-1229-3p,hsa-miR-615-3p,hsa-miR-484,hsa-miR-99b-5p,hsa-miR-320a,hsa-let-7f-5p"
"Nicotine Activity on Dopaminergic Neurons","http://wikipathways.org/instance/WP1602","1138,1137,1136,5566,2770,1020,3777,2782,54331,108,5499,51305,1644,6571,1141,1813,8973,1814,1815,7054,84152","","","hsa-miR-132-3p,hsa-miR-615-3p,hsa-miR-10a-5p,hsa-miR-22-3p,hsa-miR-744-5p,hsa-miR-196b-5p,hsa-miR-331-3p,hsa-miR-365a-3p,hsa-miR-186-5p,hsa-miR-1,hsa-miR-155-5p,hsa-miR-103a-3p,hsa-miR-101-3p,hsa-miR-16-5p,hsa-miR-589-3p,hsa-miR-106a-5p,hsa-miR-17-5p,hsa-let-7b-5p,hsa-miR-30a-5p,hsa-miR-769-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-335-5p,hsa-miR-26b-5p,hsa-miR-124-3p"
"Codeine and Morphine Metabolism","http://wikipathways.org/instance/WP1604","1244,5243,7364,8714,54658,1576,10599,1565","","","hsa-miR-451a,hsa-miR-197-3p,hsa-miR-192-5p,hsa-miR-335-5p,hsa-miR-124-3p,hsa-miR-27b-3p,hsa-miR-26b-5p"
"Glycogen Metabolism","http://wikipathways.org/instance/WP500","805,5257,5256,5255,801,2932,178,2931,5520,5521,5516,5515,5260,5518,2992,5519,8908,5261,2997,2998,2632,5525,5524,5523,5522,5529,7360,5834,5528,5527,5837,28227,5836,5526,5236,808","","","hsa-miR-1,hsa-miR-598-3p,hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-484,hsa-miR-26b-5p,hsa-miR-149-5p,hsa-miR-122-5p,hsa-miR-103a-3p,hsa-miR-98-5p,hsa-miR-769-3p,hsa-miR-421,hsa-miR-25-3p,hsa-let-7e-5p,hsa-let-7b-5p,hsa-miR-26a-5p,hsa-miR-155-5p,hsa-miR-877-3p,hsa-miR-425-5p,hsa-miR-92a-3p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-455-3p,hsa-miR-191-5p,hsa-miR-744-5p,hsa-let-7c-5p,hsa-miR-31-5p,hsa-miR-222-3p,hsa-miR-30a-5p,hsa-let-7a-5p,hsa-miR-30e-3p,hsa-miR-340-3p,hsa-miR-197-3p,hsa-miR-941,hsa-miR-505-5p,hsa-miR-106a-5p,hsa-miR-20a-5p,hsa-miR-17-5p,hsa-miR-34a-5p,hsa-miR-124-3p,hsa-miR-7-5p,hsa-miR-423-3p,hsa-miR-24-3p,hsa-miR-615-3p,hsa-miR-138-5p,hsa-miR-590-3p,hsa-miR-335-5p,hsa-miR-326,hsa-miR-148b-3p,hsa-miR-142-3p,hsa-miR-365a-3p,hsa-miR-125a-5p,hsa-miR-193b-3p,hsa-miR-32-5p,hsa-miR-106b-5p,hsa-miR-1914-5p,hsa-miR-31-3p,hsa-miR-10a-5p,hsa-miR-93-5p,hsa-miR-320a,hsa-miR-27b-3p"
"Integrated Cancer pathway","http://wikipathways.org/instance/WP1971","842,841,1869,571,6772,641,983,2956,572,4217,4361,4312,580,672,581,100422899,4193,5925,3716,207,100422832,836,545,472,4088,5451,10811,4609,4087,406991,11200,100379661,1027,1026,1030,27113,5347,10111,5728,596,1111,4436,1017,1019,7157,994,466,407024,993,407026,407025","100422899,100422899,100422832,100422832,406991,407024,407025","hsa-mir-3190,hsa-mir-3191,hsa-mir-3190,hsa-mir-3191,hsa-mir-21,hsa-mir-29b-1,hsa-mir-29b-2","hsa-miR-133a-3p,hsa-let-7a-5p,hsa-miR-193b-3p,hsa-miR-7-5p,hsa-miR-26b-5p,hsa-miR-19b-1-5p,hsa-miR-20a-5p,hsa-miR-106a-5p,hsa-miR-223-3p,hsa-miR-330-3p,hsa-miR-98-5p,hsa-miR-21-5p,hsa-miR-93-5p,hsa-miR-17-5p,hsa-miR-106b-5p,hsa-miR-205-5p,hsa-miR-23b-3p,hsa-miR-34a-5p,hsa-miR-126-3p,hsa-miR-149-3p,hsa-miR-331-3p,hsa-miR-362-3p,hsa-miR-130b-3p,hsa-miR-24-3p,hsa-miR-181b-5p,hsa-miR-10a-5p,hsa-miR-155-5p,kshv-miR-K12-11-3p,hsa-miR-196a-5p,hsa-miR-769-5p,hsa-miR-125b-5p,hsa-miR-145-5p,hsa-miR-146a-5p,hsa-miR-615-3p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-31-5p,hsa-miR-663a,hsa-miR-590-3p,hsa-miR-92a-3p,hsa-miR-1,hsa-miR-877-3p,hsa-miR-484,hsa-miR-196b-5p,hsa-miR-324-3p,hsa-miR-324-5p,hsa-miR-26a-5p,hsa-miR-330-5p,hsa-miR-769-3p,hsa-miR-210-3p,hsa-miR-373-3p,hsa-miR-375,hsa-miR-30a-5p,hsa-miR-222-3p,hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-212-3p,hsa-miR-335-5p,hsa-miR-99b-3p,hsa-miR-186-5p,hsa-miR-181a-5p,hsa-miR-504-5p,hsa-miR-148b-3p,hsa-miR-122-5p,hsa-miR-365a-3p,hsa-miR-32-5p,hsa-miR-25-3p,hsa-miR-143-3p,hsa-miR-18b-5p,hsa-miR-605-5p,hsa-miR-3929,hsa-miR-675-5p,hsa-miR-132-3p,hsa-miR-149-5p,hsa-miR-100-5p,hsa-miR-99a-5p,hsa-miR-128-3p,hsa-miR-15b-5p,hsa-miR-185-5p,hsa-miR-451a,hsa-miR-302a-3p,hsa-miR-302b-3p,hsa-miR-302c-3p,hsa-miR-302d-3p,hsa-miR-30d-5p,hsa-miR-138-5p,hsa-miR-221-3p,hsa-let-7f-5p,hsa-miR-421,hsa-miR-101-5p,hsa-miR-101-3p,hsa-miR-374a-5p,hsa-miR-18a-5p,hsa-miR-19b-3p,hsa-miR-3144-3p,hsa-miR-200a-3p,hsa-miR-9-5p,hsa-miR-30c-5p,hsa-let-7g-5p,hsa-let-7c-5p,hsa-miR-34b-5p,hsa-miR-34c-5p,hsa-miR-34b-3p,hsa-miR-378a-3p,hsa-miR-135a-5p,hsa-miR-449c-5p,hsa-miR-429,hsa-miR-320b,hsa-miR-744-5p,hsa-miR-423-5p,hsa-miR-320a,hsa-let-7b-5p,hsa-miR-200b-3p,hsa-miR-652-3p,hsa-miR-190a-5p,hsa-miR-218-5p,hsa-miR-128b,hsa-miR-1260b,hsa-miR-10b-5p,hsa-miR-942-5p,hsa-miR-182-5p,hsa-miR-657,hsa-miR-654-3p,hsa-miR-639,hsa-miR-572,hsa-miR-520h,hsa-miR-520b,hsa-miR-520a-3p,hsa-miR-519e-3p,hsa-miR-519d-3p,hsa-miR-519b-3p,hsa-miR-515-3p,hsa-miR-423-3p,hsa-miR-372-3p,hsa-miR-363-3p,hsa-miR-345-5p,hsa-miR-299-5p,hsa-miR-298,hsa-miR-28-5p,hsa-miR-20b-5p,hsa-miR-208b-3p,hsa-miR-208a-3p,hsa-miR-125a-5p,hsa-miR-503-5p,hsa-miR-519a-3p,hsa-miR-96-5p,hsa-miR-146b-5p,hsa-miR-519c-3p,hsa-miR-1229-3p,hsa-miR-505-5p,hsa-miR-374b-5p,hsa-miR-483-3p,hsa-miR-296-5p,hsa-miR-877-5p,hsa-miR-874-3p,hsa-miR-92a-1-5p,hsa-miR-217,hsa-miR-216a-5p,hsa-miR-214-3p,hsa-miR-494-3p,hsa-miR-29b-3p,hsa-miR-19a-3p,hsa-miR-141-3p,hsa-miR-103a-3p,hsa-miR-107,hsa-miR-23a-3p,hsa-miR-29a-3p,hsa-miR-144-3p,hsa-miR-204-5p,hsa-miR-153-3p,hsa-miR-29c-3p,hsa-miR-181c-5p,hsa-miR-181d-5p,hsa-miR-195-5p,hsa-miR-630,hsa-miR-449a,hsa-miR-200c-3p,hsa-miR-136-5p,hsa-miR-148a-3p,hsa-miR-24-2-5p,hsa-miR-424-5p,hsa-miR-99b-5p,hsa-miR-183-5p,hsa-miR-124-3p,hsa-miR-885-5p,hsa-miR-376a-3p,hsa-miR-361-5p,hsa-miR-449b-5p,hsa-miR-766-3p,hsa-miR-1285-3p,hsa-miR-612,hsa-miR-608,hsa-miR-485-5p,hsa-miR-27a-3p,hsa-miR-454-3p,hsa-miR-150-5p,hsa-miR-296-3p,hsa-miR-23a-5p,hsa-miR-18a-3p,hsa-let-7i-5p"
"FAS pathway and Stress induction of HSP regulation","http://wikipathways.org/instance/WP314","3725,7867,843,842,4799,841,5599,840,58,317,9261,7124,8767,5062,4000,6709,3315,4001,6416,8772,8837,60,84823,596,4214,5058,6885,5925,839,3552,836,1616,1676,54205,355,1677,356,397,71,5591,11124,407042,142","","","hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-155-5p,hsa-miR-30a-5p,hsa-miR-29c-3p,hsa-miR-101-3p,hsa-miR-26b-5p,hsa-miR-342-3p,hsa-miR-149-5p,hsa-miR-93-5p,hsa-miR-124-3p,hsa-miR-133a-3p,hsa-let-7a-5p,hsa-miR-193b-3p,hsa-miR-7-5p,hsa-miR-19b-1-5p,hsa-miR-214-3p,hsa-miR-421,hsa-miR-125a-5p,hsa-miR-140-3p,hsa-miR-10a-5p,hsa-miR-33a-5p,hsa-miR-877-5p,hsa-miR-106b-5p,hsa-miR-132-3p,hsa-miR-122-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-484,hsa-miR-1,hsa-miR-21-5p,hsa-miR-335-5p,hsa-miR-1229-3p,hsa-miR-615-3p,hsa-miR-324-5p,hsa-miR-203a,hsa-miR-98-5p,hsa-miR-500a-3p,hsa-miR-340-5p,hsa-miR-9-5p,hsa-miR-296-3p,hsa-let-7e-5p,hsa-miR-34a-5p,hsa-miR-93-3p,hsa-miR-331-3p,hsa-miR-373-3p,hsa-miR-128-3p,hsa-miR-320a,hsa-miR-375,hsa-miR-15b-5p,hsa-miR-146a-5p,hsa-miR-346,hsa-miR-26a-5p,hsa-miR-644a,hsa-miR-1307-3p,hsa-miR-1303,hsa-miR-1295a,hsa-miR-744-5p,hsa-miR-455-3p,hsa-miR-326,hsa-miR-378a-3p,hsa-miR-222-3p,hsa-miR-221-3p,hsa-miR-196a-5p,hsa-miR-100-5p,hsa-miR-92a-3p,hsa-let-7c-5p,hsa-let-7b-5p,hsa-miR-3176,hsa-miR-27a-3p,hsa-miR-18a-5p,hsa-miR-935,hsa-miR-877-3p,hsa-miR-423-5p,hsa-miR-18a-3p,hsa-miR-34b-5p,hsa-miR-204-5p,hsa-miR-153-3p,hsa-miR-365a-3p,hsa-miR-20a-5p,hsa-miR-17-5p,hsa-miR-29b-3p,hsa-miR-29a-3p,hsa-miR-181a-5p,hsa-miR-181b-5p,hsa-miR-181c-5p,hsa-miR-181d-5p,hsa-miR-125b-5p,hsa-miR-34c-5p,hsa-miR-195-5p,hsa-miR-630,hsa-miR-451a,hsa-miR-449a,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-429,hsa-miR-136-5p,hsa-miR-148a-3p,hsa-miR-24-2-5p,hsa-miR-182-5p,hsa-miR-196b-5p,hsa-miR-143-3p,hsa-miR-103a-3p,hsa-miR-96-5p,hsa-miR-423-3p,hsa-let-7g-5p,hsa-miR-377-3p,mmu-miR-465a-5p,hsa-miR-1226-5p,hsa-miR-212-3p,hsa-miR-106a-5p,hsa-miR-23b-3p,hsa-miR-675-5p,hsa-miR-130b-3p,hsa-miR-99a-5p,hsa-miR-191-5p,hsa-miR-30d-5p,hsa-miR-138-5p,hsa-miR-320c,hsa-miR-361-5p,hsa-miR-504-5p,hsa-miR-1180-3p,hsa-miR-1227-3p,hsa-miR-1226-3p,hsa-miR-99b-3p,hsa-miR-769-3p,hsa-miR-652-3p,hsa-miR-99b-5p,hsa-miR-10b-5p,hsa-miR-197-3p,hsa-miR-101-5p,hsa-miR-24-3p,hsa-miR-1301-3p,hsa-miR-1225-3p,hsa-miR-874-3p,hsa-miR-339-5p,hsa-miR-30b-5p,hsa-miR-223-3p"
"Ectoderm Differentiation","http://wikipathways.org/instance/WP2858","1004,50937,114822,494323,4204,3148,22871,55843,1006,8675,9924,6347,51222,3728,10486,170302,4926,8322,8325,4920,6498,23133,51422,56913,1487,6781,1896,6785,152789,3853,5362,8495,166,54898,54521,114815,27324,7343,51762,6016,157807,5452,4609,54828,54880,406907,51592,57154,6469,440193,25987,2627,25806,1501,2274,10013,29970,5420,91653,51701,2300,5150,54207,81576,345557,6386,5236,4771,79776,7226,398,4772,8848,54806,83933,6657,9079,7022,5783,7593,7704,7026,51043,56963,7020,8835,6929,7903,1756,57621,5269,79658,5077,84809,2263,23229,4982,56899,9687,4089,60401,407042,5787,3801,151613,27352,7471,57462,2720,1952,4990,8820,5080,1496,1499,6238,5010,11177,6907,10634,8345,406949,3170,10257,7855,657,6622,10253,9935,83439,79731,652,2737,5467,54903,460,5292,8473,3975,4061,2534,619554,57476,5297","406907,406949","hsa-mir-124-1,hsa-mir-15b","hsa-miR-155-5p,hsa-miR-335-5p,hsa-miR-124-3p,hsa-miR-34a-5p,hsa-miR-192-5p,hsa-miR-96-5p,hsa-miR-18a-3p,hsa-miR-802,hsa-miR-199a-3p,hsa-miR-195-5p,hsa-miR-19a-3p,hsa-miR-122-5p,hsa-miR-212-3p,hsa-miR-199a-5p,hsa-miR-148b-3p,hsa-miR-425-3p,hsa-miR-331-3p,hsa-miR-92a-3p,hsa-miR-181a-5p,hsa-miR-33a-5p,hsa-miR-24-3p,hsa-miR-374a-5p,hsa-miR-30a-5p,hsa-miR-455-3p,hsa-miR-193b-3p,hsa-miR-324-3p,hsa-miR-93-5p,hsa-miR-222-3p,hsa-miR-29a-3p,hsa-miR-1,hsa-miR-26b-5p,hsa-miR-296-3p,hsa-miR-615-3p,hsa-miR-30c-5p,hsa-miR-375,hsa-miR-215-5p,hsa-miR-125b-5p,hsa-miR-374b-5p,hsa-let-7c-5p,hsa-let-7f-5p,hsa-miR-30b-5p,hsa-miR-1229-3p,hsa-miR-744-5p,hsa-miR-20a-5p,hsa-miR-98-5p,hsa-let-7b-5p,hsa-let-7a-5p,hsa-miR-137,hsa-miR-940,hsa-miR-10b-5p,hsa-miR-26a-5p,hsa-miR-21-5p,hsa-miR-19b-3p,hsa-miR-10a-5p,hsa-miR-17-3p,hsa-miR-149-5p,hsa-miR-760,hsa-miR-484,hsa-miR-328-3p,hsa-miR-361-5p,hsa-miR-128-3p,hsa-miR-101-3p,hsa-miR-340-5p,hsa-miR-218-5p,hsa-miR-9-5p,hsa-let-7g-5p,hsa-miR-451a,hsa-miR-145-5p,hsa-miR-34b-5p,hsa-miR-34c-5p,hsa-miR-17-5p,hsa-miR-34b-3p,hsa-miR-378a-3p,hsa-miR-135a-5p,hsa-miR-449c-5p,hsa-miR-429,hsa-miR-320b,hsa-miR-423-5p,hsa-miR-320a,hsa-miR-425-5p,hsa-miR-598-3p,hsa-miR-346,hsa-miR-191-5p,hsa-let-7a-3p,hsa-miR-424-5p,hsa-miR-23b-3p,hsa-miR-7-5p,hsa-miR-769-5p,hsa-miR-196a-5p,hsa-miR-181c-5p,hsa-miR-181b-5p,hsa-miR-200a-3p,hsa-miR-92b-3p,hsa-miR-140-5p,hsa-miR-183-5p,hsa-miR-23a-3p,hsa-miR-103a-3p,hsa-miR-423-3p,hsa-miR-100-5p,hsa-miR-126-3p,hsa-miR-522-3p,hsa-miR-29c-3p,hsa-miR-200c-3p,hsa-miR-194-5p,hsa-miR-186-5p,hsa-miR-302a-3p,hsa-miR-935,hsa-miR-877-5p,hsa-miR-1226-3p,hsa-miR-106b-5p,hsa-miR-221-3p,hsa-miR-16-5p,hsa-miR-342-3p,hsa-miR-31-5p,hsa-miR-27a-3p,hsa-miR-27b-3p,hsa-miR-206,hsa-miR-324-5p,hsa-let-7e-5p,hsa-miR-19b-1-5p,hsa-miR-224-5p,hsa-miR-483-3p,hsa-miR-18a-5p,hsa-miR-146a-5p,hsa-miR-130a-3p,hsa-miR-301a-3p,hsa-miR-454-3p,hsa-miR-182-5p,hsa-miR-130b-3p,hsa-miR-210-3p,hsa-miR-1260b,hsa-miR-744-3p,hsa-miR-1826,hsa-miR-214-3p,hsa-miR-532-3p,hsa-miR-373-3p,hsa-miR-652-3p,hsa-miR-153-3p,hsa-miR-148a-3p,hsa-miR-135b-5p,hsa-miR-141-3p,hsa-miR-200b-3p,hsa-miR-1301-3p,hsa-miR-671-5p,hsa-miR-125a-5p,hsa-miR-877-3p,hsa-miR-93-3p"
