miRBase ID(s)	EntrezGene ID
hsa-mir-107	406901
	677799
	677795
	692203
hsa-mir-4634	100616202
hsa-mir-6786	102465471
hsa-mir-3679	100500878
hsa-mir-548ag-2	100616440
	100151683
hsa-mir-557	693142
hsa-mir-4533	100616362
hsa-mir-6848	102465511
	730102
hsa-mir-647	693232
hsa-mir-4789	100616395
hsa-mir-3909	100500826
	594838
hsa-mir-3651	100500918
	692075
hsa-mir-5004	100847012
hsa-mir-4785	100616364
hsa-mir-499a	574501
hsa-mir-141	406933
hsa-mir-5584	100847089
hsa-mir-378d-2	100616169
	26800
hsa-mir-3115	100422866
	100033440
hsa-mir-3923	100500877
hsa-mir-7111	102465668
	10178
	116938
hsa-mir-3671	100500854
hsa-mir-1-1	406904
hsa-mir-548c	693129
hsa-mir-548c	100500856
hsa-mir-548z	693129
hsa-mir-548z	100500856
	2746
hsa-mir-6124	102466906
	692110
	8396
hsa-mir-3148	100422876
	245928
	57393
hsa-mir-8058	102465863
hsa-mir-548q	100313841
hsa-mir-5701-1	103504741
hsa-mir-5701-2	103504741
hsa-mir-5701-3	103504741
	51366
hsa-mir-5691	100847015
hsa-mir-3190	100422832
hsa-mir-3190	100422899
hsa-mir-3191	100422832
hsa-mir-3191	100422899
hsa-mir-6758	102465454
hsa-mir-1271	100302203
hsa-mir-5580	100847076
hsa-mir-920	100126320
hsa-mir-4790	100616334
	100873856
hsa-mir-4460	100616325
hsa-mir-367	442912
hsa-mir-3188	100422833
	26812
hsa-mir-330	442902
	219870
hsa-mir-552	693137
hsa-mir-6886	102465534
	100873766
	100033822
hsa-mir-8060	102465864
	29844
	80308
	767565
hsa-mir-6856	102465515
	3853
hsa-mir-890	100126303
hsa-mir-6731	102465437
	51291
hsa-mir-8485	103504737
	1587
hsa-mir-4432	100616473
hsa-mir-3194	100422889
hsa-mir-4516	100616258
hsa-mir-3187	100422854
hsa-mir-133b	442890
	127074
	6202
hsa-mir-4449	100616436
hsa-mir-548h-5	100616455
hsa-mir-1282	100302254
	677805
hsa-mir-223	407008
hsa-mir-4798	100616471
hsa-mir-7106	102466222
	5645
hsa-mir-3193	100422904
hsa-mir-558	693143
hsa-mir-298	100126296
	26866
	31
hsa-mir-3186	100422944
	102725019
hsa-mir-6512	102465255
hsa-mir-186	406962
hsa-mir-521-1	574494
hsa-mir-631	693216
	1362
	26810
	347686
	767585
hsa-mir-6717	102465428
	652965
hsa-mir-4467	100616367
hsa-mir-3177	100423012
hsa-mir-4650-1	100616310
hsa-mir-4650-2	100616310
hsa-mir-449a	554213
hsa-mir-1295a	100302178
	100126299
hsa-mir-4708	100616176
hsa-mir-5571	100847006
	729348
hsa-mir-7-3	407045
	5555
hsa-mir-342	442909
hsa-mir-1469	100302258
hsa-mir-6500	102466656
hsa-mir-4291	100422927
hsa-mir-3118-1	100423008
hsa-mir-933	100126350
	100033446
	100036565
	677772
	100507362
hsa-mir-6854	102465514
hsa-mir-8059	102466918
hsa-mir-4474	100616441
	692157
hsa-mir-378g	100616321
hsa-mir-551a	693135
hsa-mir-301a	407027
hsa-mir-2392	100616495
hsa-mir-4675	100616383
	7936
hsa-mir-4437	100616213
	1536
	100873775
hsa-mir-1208	100302281
hsa-mir-4644	100616430
hsa-mir-6880	102466204
hsa-mir-4757	100616307
hsa-mir-4286	100422982
	404672
hsa-mir-670	100313777
	83881
	441864
hsa-mir-500b	100422911
	677806
hsa-mir-4738	100616282
hsa-mir-3908	100500909
hsa-mir-5579	100847000
hsa-mir-507	574512
	728945
	101954273
hsa-mir-202	574448
	26797
	26791
hsa-mir-603	693188
hsa-mir-3074	100422842
hsa-mir-5091	100847023
hsa-mir-4453	100616193
hsa-mir-6502	102465249
	677794
	100507173
	26767
hsa-mir-3648-1	103504731
hsa-mir-3648-2	103504731
hsa-mir-1302-2	100422919
hsa-mir-1302-9	100422919
hsa-mir-1302-10	100422919
hsa-mir-1302-11	100422919
	677838
	619563
hsa-mir-3618	100500860
	23536
	26789
hsa-mir-519d	574480
hsa-mir-6793	102466737
hsa-mir-548f-1	100302192
hsa-mir-4639	100616269
	767590
	84456
	692201
	677766
hsa-mir-6077	102466225
	594839
hsa-mir-3936	100500865
hsa-mir-147b	100126311
hsa-mir-549a	693132
	100033426
hsa-mir-4419a	100616177
	55290
	3632
hsa-mir-3616	100500814
hsa-mir-6755	102465452
hsa-mir-4318	100422857
hsa-mir-1909	100302210
	677844
hsa-mir-300	100126297
	100170841
hsa-mir-548p	100302288
	677780
hsa-mir-4283-1	100422848
hsa-mir-4283-2	100422848
hsa-mir-4258	100423020
hsa-mir-7156	102466995
hsa-mir-6889	102466758
hsa-mir-5707	100847032
	117246
hsa-mir-526a-1	574475
hsa-let-7a-2	406882
	677826
hsa-mir-8069-1	102466252
hsa-mir-8069-2	102466252
hsa-mir-4292	100422860
hsa-mir-548an	100616144
	3133
hsa-mir-4431	100616431
hsa-mir-30c-1	407031
hsa-mir-6816	102465490
hsa-mir-5009	100846993
	100033809
hsa-mir-4444-1	100616394
hsa-mir-4444-2	100616394
	49855
hsa-mir-3689b	100500906
hsa-mir-6785	102466911
hsa-mir-657	724027
hsa-mir-3165	100422953
	26792
	51466
	4438
	9300
hsa-mir-4803	100616377
hsa-mir-4684	100616391
	440465
	26824
hsa-mir-5693	100847003
hsa-mir-581	693166
	644444
hsa-mir-4319	100422829
	51206
hsa-mir-151b	100616247
	100124537
hsa-mir-6737	102465441
	94162
	219869
hsa-mir-1468	100302115
hsa-mir-3156-2	100422907
hsa-mir-619	693204
hsa-mir-4646	100616230
hsa-mir-4489	100616284
hsa-mir-6811	102465486
	767567
hsa-mir-561	693146
	717
hsa-mir-659	724029
hsa-mir-181b-2	406956
	767563
hsa-mir-3064	100616387
hsa-mir-181a-1	406995
	117532
hsa-mir-4327	100422891
	26779
hsa-mir-3176	100423037
hsa-mir-33b	693120
hsa-mir-4689	100616421
hsa-mir-3617	100500897
hsa-mir-3675	100500876
hsa-mir-1253	100302208
	145820
	57693
hsa-mir-656	724026
hsa-mir-4635	100616479
	23408
	101340252
	162517
hsa-mir-4513	100616183
hsa-mir-4326	100422945
	692213
	6356
hsa-mir-4436b-1	100847033
hsa-mir-4436b-2	100847033
hsa-mir-6747	102465447
	6079
hsa-mir-513a-1	574509
	100033804
hsa-mir-4716	100616332
hsa-mir-516b-2	574485
	677846
hsa-mir-6724-1	102465433
hsa-mir-6724-2	102465433
hsa-mir-6724-3	102465433
hsa-mir-6724-4	102465433
hsa-mir-6514	102465257
hsa-mir-218-1	407000
hsa-mir-1262	100302279
hsa-mir-15b	406949
hsa-mir-941-1	100126329
hsa-mir-941-1	100126352
hsa-mir-941-1	103504732
hsa-mir-941-2	100126329
hsa-mir-941-2	100126352
hsa-mir-941-2	103504732
hsa-mir-941-3	100126329
hsa-mir-941-3	100126352
hsa-mir-941-3	103504732
hsa-mir-941-4	100126329
hsa-mir-941-4	100126352
hsa-mir-941-4	103504732
hsa-mir-941-5	100126329
hsa-mir-941-5	100126352
hsa-mir-941-5	103504732
	1875
hsa-mir-6087	102464835
	100302738
hsa-mir-4717	100616241
hsa-mir-4665	100616288
	26870
	677814
hsa-mir-1237	100302280
	83637
hsa-mir-4309	100422954
hsa-mir-4999	100847049
hsa-mir-3173	100422981
hsa-mir-548d-1	693130
