"entrez","wpids"
"10893","WP129"
"10898","WP411"
"109","WP2032, WP289, WP35, WP3929, WP536"
"10906","WP1449"
"10907","WP411"
"10910","WP1433"
"10911","WP3594"
"10912","WP1530, WP707"
"10913","WP1984, WP3930"
"10914","WP411"
"10919","WP2369"
"10921","WP411"
"10926","WP179, WP466"
"10928","WP2290, WP437"
"10933","WP3651"
"10935","WP15"
"10936","WP455"
"10938","WP481"
"10941","WP698, WP702"
"10946","WP410, WP411"
"10971","WP179, WP2272, WP2572, WP286, WP289, WP536, WP706"
"10972","WP411"
"10973","WP2853, WP2857"
"10975","WP111"
"10978","WP411"
"10980","WP1433"
"10987","WP366"
"10992","WP411"
"10993","WP3925"
"10998","WP2879, WP3942"
"10999","WP3942"
"11001","WP3942"
"11004","WP2038"
"11009","WP615"
"1101","WP306, WP3932"
"11011","WP1530, WP707"
"11025","WP2431"
"1103","WP528, WP550, WP706"
"11030","WP410"
"11034","WP138"
"11035","WP231, WP2513"
"11040","WP3640"
"11051","WP411"
"11059","WP366"
"11065","WP2361, WP2363"
"11072","WP516"
"11073","WP3875"
"11076","WP2038, WP2276, WP706"
"11082","WP2361"
"1109","WP696, WP702"
"11096","WP474"
"111","WP289, WP35, WP3929, WP536"
"1111","WP1530, WP179, WP1971, WP1984, WP2377, WP2446, WP2516, WP3651, WP3875, WP3878, WP3959, WP707"
"11112","WP3925"
"11113","WP524"
"1112","WP2853"
"11124","WP2446, WP314, WP3888"
"11127","WP474, WP481"
"11129","WP411"
"11131","WP185"
"11132","WP185"
"11138","WP179"
"11140","WP231, WP2586, WP2873, WP3670, WP3932"
"11142","WP289, WP536"
"11143","WP138"
"11144","WP34"
"11166","WP2853, WP2857"
"11169","WP2853, WP2857"
"11171","WP366"
"11177","WP2858"
"11182","WP2884"
"11183","WP3915, WP481"
"11184","WP23, WP2795, WP313, WP366, WP382, WP3915, WP437, WP481, WP69"
"11185","WP465, WP704"
"11186","WP2828, WP3959"
"11189","WP3527"
"1119","WP3933, WP3940, WP528"
"11190","WP2853, WP2857"
"11197","WP3658"
"112","WP289, WP35, WP3929, WP536"
"1120","WP143, WP2533, WP3933, WP3940"
"11200","WP1530, WP179, WP1971, WP1984, WP2377, WP2516, WP3651, WP3878, WP3959, WP707"
"11202","WP2431"
"11211","WP3680, WP399, WP428"
"11213","WP1449, WP195, WP3851"
"11214","WP35"
"11215","WP35"
"11216","WP35"
"11217","WP35"
"11218","WP411"
"11221","WP382"
"11224","WP477"
"11236","WP1982"
"112398","WP3617"
"11245","WP117"
"112464","WP3594"
"11250","WP455"
"11251","WP455"
"11254","WP2884"
"11255","WP455, WP727"
"11261","WP2059, WP3863"
"112714","WP2272, WP2359"
"112744","WP2112"
"112755","WP2267"
"1128","WP2597, WP3594, WP3932, WP455, WP51, WP536, WP58"
"11283","WP43, WP702"
"1129","WP117, WP3932, WP455, WP51, WP536, WP58, WP706"
"113","WP289, WP35, WP3929, WP536"
"113026","WP3958"
"11309","WP2879"
"1131","WP117, WP455, WP51, WP536, WP58"
"11315","WP138, WP2267, WP2371"
"11317","WP268"
"11318","WP289"
"113189","WP702"
"1132","WP455, WP51, WP536, WP58"
"113235","WP176"
"113277","WP3945"
"11329","WP2916"
"1133","WP455, WP51, WP536, WP58"
"11335","WP410"
"11337","WP615"
"11338","WP411"
"11345","WP615"
"113457","WP2272, WP2359"
"11346","WP2572"
"1136","WP1602, WP1603"
"113612","WP43, WP702"
"1137","WP1602, WP706"
"113791","WP3932"
"1138","WP1602"
"113878","WP268"
"1139","WP706"
"114","WP2636, WP289, WP35, WP3929, WP536"
"1141","WP1602, WP3594, WP706"
"114112","WP15, WP28, WP2884"
"114134","WP2884"
"1143","WP1603, WP706"
"114548","WP1433, WP2865"
