"mirtarbase","wptargets"
"mmu-miR-146a-5p","WP10, WP113, WP1243, WP1249, WP1253, WP1266, WP1270, WP1496, WP1498, WP151, WP1560, WP1763, WP201, WP202, WP2067, WP2074, WP2075, WP222, WP2292, WP2316, WP2432, WP246, WP2573, WP265, WP2841, WP2852, WP2872, WP29, WP297, WP310, WP339, WP350, WP3592, WP3652, WP3663, WP37, WP373, WP385, WP3857, WP387, WP403, WP407, WP431, WP447, WP450, WP458, WP493, WP509, WP512, WP519, WP539, WP553, WP572, WP723, 
WP88"
"mmu-miR-146b-5p","WP108, WP113, WP1243, WP1244, WP1254, WP1266, WP1496, WP151, WP1560, WP166, WP1763, WP201, WP2067, WP2074, WP2084, WP2292, WP246, WP2573, WP265, WP2852, WP29, WP339, WP3663, WP3675, WP37, WP373, WP385, WP387, WP3991, WP412, WP450, WP493, WP512, WP539, WP88"
"mmu-miR-148a-3p","WP113, WP1261, WP1498, WP1560, WP1763, WP193, WP2074, WP2292, WP2841, WP2902, WP298, WP339, WP3675, WP385, WP3857, WP403, WP435, WP447, WP488, WP523, WP539, WP553, WP572, WP6, WP65, WP723, WP730, WP85"
"mmu-miR-148b-3p","WP1261, WP1763, WP385, WP435, WP539, WP553, WP572, WP730"
"mmu-miR-150-5p","WP10, WP1244, WP1249, WP1254, WP1261, WP1263, WP1266, WP1270, WP1396, WP151, WP1560, WP1763, WP189, WP193, WP202, WP2067, WP2074, WP2084, WP2292, WP234, WP246, WP251, WP2573, WP265, WP2841, WP2872, WP297, WP310, WP339, WP350, WP3632, WP3675, WP37, WP373, WP3864, WP387, WP407, WP447, WP450, WP454, WP488, WP493, WP512, WP523, WP539, WP57, WP571, WP572, WP578, WP6, WP65, WP85, WP88"
"mmu-miR-151-5p","WP2841, WP458"
"mmu-miR-152-3p","WP1261, WP1763, WP193, WP2841, WP2902, WP339, WP3675, WP385, WP435, WP539, WP553, WP572, WP65, WP730, WP85"
"mmu-miR-153-3p","WP1763, WP2075, WP297, WP407, WP553"
"mmu-miR-154-5p","WP339, WP3857, WP403, WP723"
"mmu-miR-155-3p","WP1249, WP1253, WP151, WP1763, WP2074, WP3855, WP407, WP447, WP450, WP572, WP578, WP65"
"mmu-miR-155-5p","WP108, WP113, WP1244, WP1245, WP1249, WP1253, WP1254, WP1261, WP1270, WP151, WP1560, WP166, WP1763, WP193, WP2074, WP2075, WP2084, WP2087, WP2140, WP2141, WP2292, WP2316, WP232, WP2432, WP246, WP2573, WP265, WP273, WP2841, WP2872, WP2902, WP297, WP298, WP317, WP339, WP350, WP3592, WP3625, WP3632, WP37, WP373, WP385, WP3855, WP3857, WP387, WP403, WP407, WP412, WP431, WP447, WP450, WP488, WP493, 
WP509, WP523, WP539, WP544, WP571, WP572, WP578, WP65, WP723, WP85, WP88"
"mmu-miR-15a-5p","WP1244, WP1254, WP1256, WP1270, WP1496, WP1560, WP1763, WP1983, WP202, WP2067, WP2074, WP2087, WP2432, WP2841, WP2852, WP2902, WP2910, WP339, WP3632, WP373, WP3855, WP3857, WP3864, WP387, WP3979, WP403, WP413, WP450, WP458, WP512, WP523, WP539, WP571, WP723, WP85"
