"mirtarbase","hits"
"mmu-miR-106b-5p","26416, 20848, 20848, 12125, 12159, 8408, 75729, 75729, 226470, 382051, 240055, 83814, 225876, 12487, 12487, 20451, 15901, 18526, 244416, 19244, 21761, 21858, 17260, 244049, 67529, 67529, 73158, 76850, 217379, 16155, 17129, 13654, 16601, 1536"
"mmu-miR-107-3p","15251, 210146, 210146, 210146, 210146, 71755, 71755, 70549, 270669, 226139, 17764, 16593, 16593, 234733, 68737, 56381, 66274, 71147, 12571"
"mmu-miR-10a-3p","12912"
"mmu-miR-10a-5p","208727, 12125, 16600, 71924, 64707, 71774, 71774, 66522, 330790, 14747, 14747, 14747, 14747, 66274, 215627, 21780, 21780, 81004, 81004, 246104, 246104, 246104, 246104, 246104, 19013, 17764, 320772, 218121, 16568, 212632, 320191, 12929, 264064, 338354, 269870, 269870, 57434, 57434, 272027, 21933, 55994, 55994, 22599, 170756, 170756, 19727, 19727, 72129, 72129, 110385, 110385, 381318, 66394, 
69721, 69721, 69721, 66223, 67096, 545276, 14241, 14241, 14082, 329659, 329659, 13423, 13423, 208144, 208144, 56094, 12572, 12572, 20308, 20308, 23827, 14422, 14422, 76916, 76916, 69576, 69576, 241322, 241322, 331524, 331524, 77593, 77593, 20844, 76789, 239719, 320184, 320184, 16798, 16798, 16475, 16475, 56809, 56809, 74201, 74201, 67433, 67433, 71085, 103266, 103266, 57776, 57776, 20017, 212448, 
212448, 235132, 235293, 243382, 73095, 19355, 19355, 224703, 224703, 29808, 29808, 72349, 72349, 56410, 56410, 12014, 12014, 218850, 218850, 319430, 319430, 17082, 17082, 118446, 193385, 193385, 12633, 12633, 17064, 329679, 329679, 18646, 240064, 21408, 545471, 244713, 56314, 73680, 264134, 67009, 19720, 268741, 332359, 21778, 319508, 20680, 270066, 56643, 108943, 60365, 224344, 57782, 223332, 
52055, 209027, 19255, 20459, 116939, 56193, 55982, 101187, 237542, 67968, 66164, 13004, 67532, 17193, 140481, 68852, 68304, 228003, 223658, 238377, 237107, 237433, 109075, 668212, 213573, 407800, 227525, 99151, 12319, 232946, 11832, 11428, 171168, 223970, 66648, 72650, 66356, 69035, 108800, 20528, 67630, 328949, 210126, 109242, 229504, 73649, 77771, 12396, 11552, 276829, 83382, 320213, 19354, 
240047, 14660, 14387, 13418, 26378, 269952, 192986, 230099, 56399, 77559, 67593, 74442, 224617, 272382, 52202, 19326, 242748, 73902, 18477, 230751, 270086, 67219, 240087, 52150, 15975, 319164, 73225, 13828, 93838, 216820, 72108, 226539, 70454, 75729, 630836, 414872, 231668, 70620, 320541, 223881, 57385, 108960, 14702, 77877, 67246, 78323, 22319, 140499, 13830, 18260, 67414, 17218, 18475, 105372, 
66855, 51801, 66101, 319504, 69900, 73473, 14583, 13807, 140579, 22401, 68524, 68564, 319955, 234733, 212541"
"mmu-miR-10b-5p","15430, 15430, 16600, 12575, 71924, 64707, 71774, 71774, 66522, 330790, 14747, 14747, 14747, 14747, 66274, 215627, 21780, 21780, 81004, 81004, 246104, 246104, 246104, 246104, 246104, 19013, 17764, 320772, 218121, 16568, 212632, 320191, 12929, 264064, 338354, 269870, 269870, 57434, 57434, 272027, 21933, 55994, 55994, 22599, 170756, 170756, 19727, 19727, 72129, 72129, 110385, 110385, 381318, 66394, 
69721, 69721, 69721, 66223, 67096, 545276, 14241, 14241, 14082, 329659, 329659, 13423, 13423, 208144, 208144, 56094, 12572, 12572, 20308, 20308, 23827, 14422, 14422, 76916, 76916, 69576, 69576, 241322, 241322, 331524, 331524, 77593, 77593, 20844, 76789, 239719, 320184, 320184, 16798, 16798, 16475, 16475, 56809, 56809, 74201, 74201, 67433, 67433, 71085, 103266, 103266, 57776, 57776, 20017, 212448, 
212448, 235132, 235293, 243382, 73095, 19355, 19355, 224703, 224703, 29808, 29808, 72349, 72349, 56410, 56410, 12014, 12014, 218850, 218850, 319430, 319430, 17082, 17082, 118446, 193385, 193385, 12633, 12633, 17064, 329679, 329679, 18646, 240064, 21408, 545471, 244713, 56314, 73680, 264134, 67009, 19720, 268741, 332359, 21778, 319508, 20680, 270066, 56643, 108943, 60365, 224344, 57782, 223332, 
52055, 209027, 19255, 20459, 116939, 56193, 55982, 101187, 237542, 67968, 66164, 13004, 67532, 17193, 140481, 68852, 68304, 228003, 223658, 238377, 237107, 237433, 109075, 668212, 213573, 407800, 227525, 99151, 12319, 232946, 11832, 11428, 171168, 223970, 66648, 72650, 66356, 69035, 108800, 20528, 67630, 328949, 210126, 109242, 229504, 73649, 77771, 12396, 11552, 276829, 83382, 320213, 19354, 
240047, 14660, 14387, 13418, 26378, 269952, 192986, 230099, 56399, 77559, 67593, 74442, 224617, 272382, 52202, 19326, 242748, 73902, 18477, 230751, 270086, 67219, 240087, 52150, 15975, 319164, 73225, 13828, 93838, 216820, 72108, 226539, 70454, 75729, 630836, 414872, 231668, 70620, 320541, 223881, 57385, 108960, 14702, 77877, 67246, 78323, 22319, 140499, 13830, 18260, 67414, 17218, 18475, 105372, 
66855, 51801, 66101, 319504, 69900, 73473, 14583, 13807, 140579, 22401, 68524, 68564, 319955, 234733"
"mmu-miR-1186a","243905, 320558, 18021, 72413, 22393, 22393, 71602, 71602, 16416, 272027, 171285, 18150, 242747, 382019, 330788, 77593, 217379, 76367, 69786, 320587, 20913, 19889, 56508, 320139, 19054, 18166, 217431, 17975, 76784, 52686, 216154, 17199, 74549, 67075, 432779, 16956, 54486, 66296, 235582, 69367, 237221, 54004, 242474, 94040, 50883, 226043, 56078, 52717, 110532, 110446, 320492, 75939, 384309, 217169, 
68955, 68070, 433904, 72267, 14417, 213054, 13709, 21367, 76809, 11352, 216119, 21916, 224617, 52892, 18293, 319555, 215690, 75739, 73016, 15586, 94253, 14816, 50789, 50505, 245474, 12983, 108015, 12326, 75302, 26874, 70153, 12212, 23832, 108159, 67812, 66229, 230726, 59038, 16573, 16156, 16155, 20585, 14680, 234086, 56066, 434438, 108909, 68597, 219105, 56404, 229521, 67630, 11891, 26936, 
74105, 112415, 56386, 20538, 17527, 80976, 328370, 230234"
"mmu-miR-1186b","13728, 71508, 233406, 233406, 68371, 94352, 94352, 11605, 11605, 12765, 71602, 71602, 67075, 20911, 75767, 66491, 100233208, 71820, 71820, 382074, 382074, 266692, 70574, 237500, 17260, 242747, 217379, 21399, 21339, 20913, 19743, 18782, 18704, 59125, 216154, 66296, 69367, 237221, 94040, 50883, 12223, 110532, 110446, 320492, 75939, 319740, 67630, 19653, 213054, 76809, 71131, 69786, 217169, 21916, 
52463, 18764, 319555, 75739, 64113, 15586, 94253, 50789, 14062, 50505, 245474, 12983, 56078, 12326, 26874, 68070, 108159, 66229, 230726, 229534, 66493, 432628, 16573, 54486, 20585, 14680, 54004, 56066, 434438, 108909, 229521, 268297, 74105, 112415, 56386, 17527, 382117, 72290"
"mmu-miR-1187","211488, 16880, 16002, 16002, 72154, 213053, 213053, 213053, 54354, 18105, 18010, 228607, 15557, 23894, 207798, 268709, 268709, 268709, 12495, 226139, 226139, 72978, 72978, 11435, 215928, 23796, 234135, 234135, 320538, 319236, 327766, 621976, 67155, 20474, 24050, 67792, 226525, 114713, 227800, 18753, 56711, 109785, 225631, 67144, 245671, 15194, 14696, 14696, 328232, 212943, 13665, 13497, 216613, 
56386, 72993, 56697, 22688, 70560, 378431, 224617, 74051, 19879, 19879, 19879, 19879, 235504, 66641, 66641, 66641, 19279, 244238, 72656, 433956, 433956, 103140, 14583, 218476, 385658, 330286, 330286, 330286, 330286, 228846, 93673, 12572, 12487, 57781, 72278, 12370, 12370, 54447, 75541, 100515, 24136, 75089, 14605, 245572, 110876, 72999, 72999, 319594, 94253, 213054, 192657, 80797, 67488, 319924, 
57315, 233405, 233405, 21337, 72195, 27371, 30049, 19726, 215653, 106338, 17087, 16182, 396184, 54156, 12622, 12043, 20928, 11906, 11906, 74335, 52348, 271842, 225998, 319642, 319642, 56738, 108030, 210094, 14123, 211556, 18430, 100048884, 384281, 20481, 12394, 15117, 117589, 11641, 68944, 11548, 407821, 21366, 224794, 22337, 353208, 665211, 74202, 242474, 12311, 236915, 319636, 22754, 240690, 
19201, 269198, 13819, 20358, 238564, 216225, 67295, 21336"
"mmu-miR-1188-5p","67230, 18641, 18641, 16182, 26950, 238328, 381373, 237436, 237436, 70560, 230657, 234076, 242607, 20211, 20211, 56644, 29864, 230815, 381058, 192216, 27371, 194590, 194590, 244238, 244238, 20309, 74438, 52838, 12125, 12837, 67902, 50877, 56444, 320587, 170799, 230801, 18600, 56078, 75939, 330503, 16443"
"mmu-miR-1190","68303, 231991, 107605, 13807, 73212, 73212, 16410, 243219, 243219, 330788, 227632, 213391"
