"entrez","wpids"
"12209","WP1397, WP189, WP234"
"12215","WP441"
"12223","WP1261"
"12224","WP1763, WP2872, WP447"
"12226","WP544"
"12227","WP2432"
"12229","WP151, WP387, WP407"
"12234","WP246, WP539"
"12258","WP449"
"12259","WP1496, WP200, WP3626, WP449"
"12260","WP1496, WP200, WP3626, WP449"
"12262","WP1496, WP200, WP3625, WP3626, WP449"
"12263","WP1496, WP200, WP449"
"12265","WP1253"
"12266","WP200, WP3625, WP449"
"12267","WP1396, WP1496, WP189, WP234, WP449"
"12268","WP1266, WP1496, WP200, WP449"
"12269","WP449"
"12273","WP1396, WP1496, WP189, WP234, WP449"
"12274","WP200, WP449"
"12279","WP200, WP449"
"12283","WP1270, WP2841"
"12286","WP553"
"12287","WP553"
"12288","WP2075, WP553"
"12289","WP2075, WP553"
"12290","WP553"
"12292","WP2075, WP553"
"12295","WP553"
"12297","WP385, WP553"
"12306","WP374"
"12310","WP3632, WP385"
"12311","WP1396, WP41, WP456"
"12313","WP1270, WP1560, WP232, WP298, WP317"
"12314","WP2075, WP317"
"12315","WP317, WP385, WP553"
"12317","WP553"
"12322","WP1261, WP385, WP539, WP553, WP572"
"12323","WP1246, WP2141, WP2573, WP385, WP539, WP553"
"12325","WP1983, WP385, WP539, WP553"
"12326","WP1246, WP1263, WP553"
"12331","WP65"
"12332","WP3625"
"12333","WP2075, WP37, WP6, WP85"
"12334","WP2075, WP6"
"12335","WP246, WP6"
"12336","WP37, WP6"
"12337","WP6"
"12338","WP6"
"12339","WP6"
"12355","WP431, WP509"
"12359","WP1272, WP1273, WP412, WP79"
"12361","WP1983"
"12362","WP1254, WP37, WP493"
"12363","WP1254"
"12364","WP2075"
"12366","WP1254, WP166, WP246, WP3638, WP493"
"12367","WP1254, WP1496, WP166, WP1763, WP2075, WP2087, WP2432, WP246, WP2902, WP3638, WP387, WP488, WP493, WP571, WP88"
"12368","WP1254, WP166, WP3638, WP493, WP571"
"12369","WP1254, WP166, WP2075, WP246, WP3638, WP493, WP571"
"12370","WP1254, WP166, WP2075, WP2087, WP246, WP2902, WP493, WP571, WP88"
"12371","WP1254, WP1496, WP166, WP2075, WP2087, WP2841, WP2902, WP3638, WP387, WP493, WP571, WP572"
"12372","WP553"
"12373","WP216, WP553"
"12374","WP1396, WP327, WP41"
"12385","WP2872"
"12387","WP113, WP151, WP1560, WP1763, WP201, WP2067, WP2074, WP2573, WP339, WP3857, WP403, WP447, WP512, WP539, WP723"
"12388","WP572, WP723"
"12389","WP246, WP572, WP6, WP85"
"12390","WP1983, WP572, WP6, WP85"
"12391","WP1266, WP6, WP85"
"12393","WP113, WP1270, WP539"
"12399","WP113, WP1270, WP3625"
"12402","WP151, WP297, WP373, WP407, WP450, WP572, WP65"
"12406","WP1270"
"12411","WP1273, WP1770, WP662, WP730"
"12417","WP544"
"12425","WP1396, WP189, WP234"
"12426","WP1396, WP189, WP234"
"12427","WP413"
"12428","WP297, WP512"
"12442","WP2087, WP2902"
"12443","WP1244, WP1763, WP2087, WP2432, WP2902, WP3979, WP403, WP413, WP539, WP723, WP85"
"12444","WP2087, WP273, WP2902, WP297, WP3855, WP3979, WP403, WP413, WP723, WP85"
"12445","WP151, WP2087, WP2902, WP403, WP413, WP723, WP85"
"12447","WP2087, WP2902, WP3638, WP413, WP512"
"12448","WP2087, WP2902, WP3638, WP413"
"12450","WP2087, WP2432, WP2902"
"12452","WP2902, WP413"
"12458","WP1396, WP189, WP2292, WP234"
"12475","WP2271, WP493, WP523"
"12476","WP2573, WP488"
"12487","WP458"
"12488","WP2573"
"12491","WP1259, WP2316"
"12492","WP2573"
"12493","WP3625"
"12495","WP2185"
"12496","WP2185"
"12497","WP2185"
"12499","WP2185"
"12504","WP222, WP3625"
"12505","WP1763, WP723"
"12508","WP450"
"12509","WP449"
"12514","WP2271"
"12519","WP2573, WP458"
"12521","WP2902"
"12522","WP2271"
"12523","WP3625"
"12524","WP2271, WP458"
"12530","WP2087, WP413"
"12531","WP493"
"12532","WP2087, WP539"
"12534","WP116, WP2087, WP2432, WP2902, WP413, WP539"
"12539","WP246, WP2841"
"12540","WP1496, WP2292, WP298, WP350, WP373, WP493, WP523, WP572, WP6, WP85"
"12544","WP150, WP413"
"12545","WP150"
"12550","WP1763, WP2074, WP539"
"12558","WP1983, WP2074, WP2573"
"12563","WP2074"
"12566","WP150, WP1763, WP2087, WP2432, WP265, WP2902, WP297, WP413, WP512"
"12567","WP2087, WP2432, WP273, WP2902, WP297, WP413"
"12568","WP2075, WP2087, WP387"
"12569","WP2075, WP387"
"12571","WP2087, WP2902, WP413"
"12572","WP1244, WP1560, WP413, WP567"
"12575","WP1261, WP1496, WP1763, WP2087, WP2573, WP2841, WP2902, WP413, WP488"
"12576","WP1261, WP1496, WP151, WP2087, WP2573, WP273, WP2841, WP2928, WP3855, WP413"
"12577","WP1270, WP1496, WP1498, WP2573, WP413"
"12578","WP1763, WP2902, WP413"
"12579","WP413"
"12580","WP413"
"12581","WP413"
"12583","WP1770"
