entrez,mirbase
407003,hsa-mir-219b
407004,hsa-mir-22
84981,hsa-mir-22
407006,hsa-mir-221
407007,hsa-mir-222
100313842,hsa-mir-2276
100313780,hsa-mir-2278
100423036,hsa-mir-2355
100616495,hsa-mir-2392
407010,hsa-mir-23a
407011,hsa-mir-23b
100500809,hsa-mir-23c
407013,hsa-mir-24-2
284454,hsa-mir-24-2
100616360,hsa-mir-2467
407014,hsa-mir-25
100616110,hsa-mir-2681
100616452,hsa-mir-2682
406928,hsa-mir-2682
400765,hsa-mir-2682
407015,hsa-mir-26a-1
407016,hsa-mir-26a-2
407017,hsa-mir-26b
407018,hsa-mir-27a
407019,hsa-mir-27b
407020,hsa-mir-28
100422969,hsa-mir-2909
407022,hsa-mir-296
100126354,hsa-mir-297
100126296,hsa-mir-298
407023,hsa-mir-299
407024,hsa-mir-29a
407021,hsa-mir-29a
407024,hsa-mir-29b-1
407021,hsa-mir-29b-1
407026,hsa-mir-29b-2
407025,hsa-mir-29b-2
407026,hsa-mir-29c
407025,hsa-mir-29c
100126297,hsa-mir-300
407027,hsa-mir-301a
100126318,hsa-mir-301b
407028,hsa-mir-302a
442895,hsa-mir-302c
442896,hsa-mir-302d
100313774,hsa-mir-302e
100302131,hsa-mir-302f
100422915,hsa-mir-3065
100422842,hsa-mir-3074
407029,hsa-mir-30a
407030,hsa-mir-30b
407031,hsa-mir-30c-1
407032,hsa-mir-30c-2
407033,hsa-mir-30d
407034,hsa-mir-30e
407035,hsa-mir-31
100422866,hsa-mir-3115
100422902,hsa-mir-3116-1
100422946,hsa-mir-3116-2
100422902,hsa-mir-3116-2
100422871,hsa-mir-3117
100423008,hsa-mir-3118-1
100422949,hsa-mir-3118-2
100422935,hsa-mir-3118-2
100422844,hsa-mir-3118-2
100422949,hsa-mir-3118-3
100422935,hsa-mir-3118-3
100422844,hsa-mir-3118-3
100422949,hsa-mir-3118-4
100422935,hsa-mir-3118-4
100422844,hsa-mir-3118-4
100423010,hsa-mir-3119-1
100422839,hsa-mir-3119-1
100423010,hsa-mir-3119-2
100422839,hsa-mir-3119-2
100422882,hsa-mir-3120
100423032,hsa-mir-3121
100422947,hsa-mir-3122
100422856,hsa-mir-3123
100422879,hsa-mir-3124
100422986,hsa-mir-3125
100423030,hsa-mir-3126
100422928,hsa-mir-3127
100422824,hsa-mir-3128
100422908,hsa-mir-3129
100423002,hsa-mir-3130-1
100422993,hsa-mir-3130-1
100423002,hsa-mir-3130-2
100422993,hsa-mir-3130-2
100422957,hsa-mir-3131
100423039,hsa-mir-3132
100422942,hsa-mir-3133
100422990,hsa-mir-3134
100422901,hsa-mir-3135a
100616218,hsa-mir-3135b
100422859,hsa-mir-3136
100422926,hsa-mir-3137
100423011,hsa-mir-3138
100423017,hsa-mir-3139
100422896,hsa-mir-3140
100422950,hsa-mir-3141
100422938,hsa-mir-3142
100422934,hsa-mir-3143
100422951,hsa-mir-3144
100423001,hsa-mir-3145
100422967,hsa-mir-3146
100422939,hsa-mir-3147
100422876,hsa-mir-3148
100422921,hsa-mir-3149
100422964,hsa-mir-3150a
100422992,hsa-mir-3151
100422869,hsa-mir-3152
100422936,hsa-mir-3153
100422893,hsa-mir-3154
100422989,hsa-mir-3155a
100628560,hsa-mir-3155b
100422988,hsa-mir-3156-1
100422907,hsa-mir-3156-2
100423018,hsa-mir-3156-3
100422892,hsa-mir-3157
100423033,hsa-mir-3158-1
100422900,hsa-mir-3158-1
100423033,hsa-mir-3158-2
100422900,hsa-mir-3158-2
100423016,hsa-mir-3159
100422827,hsa-mir-3160-1
100422827,hsa-mir-3160-2
100422825,hsa-mir-3160-2
100423000,hsa-mir-3161
100422880,hsa-mir-3162
100423029,hsa-mir-3163
100422846,hsa-mir-3164
100422953,hsa-mir-3165
100423040,hsa-mir-3166
100422918,hsa-mir-3167
100422878,hsa-mir-3168
100422973,hsa-mir-3169
100422881,hsa-mir-3170
100422830,hsa-mir-3171
100422981,hsa-mir-3173
100422841,hsa-mir-3174
100423037,hsa-mir-3176
100423012,hsa-mir-3177
100422974,hsa-mir-3178
103504729,hsa-mir-3179-1
100423006,hsa-mir-3179-1
100422960,hsa-mir-3179-1
100422886,hsa-mir-3179-1
103504729,hsa-mir-3179-2
100423006,hsa-mir-3179-2
100422960,hsa-mir-3179-2
100422886,hsa-mir-3179-2
103504729,hsa-mir-3179-3
100423006,hsa-mir-3179-3
100422960,hsa-mir-3179-3
100422886,hsa-mir-3179-3
103504729,hsa-mir-3179-4
100423006,hsa-mir-3179-4
100422960,hsa-mir-3179-4
100422886,hsa-mir-3179-4
100422870,hsa-mir-3180-1
100422836,hsa-mir-3180-1
100422956,hsa-mir-3180-2
100422870,hsa-mir-3180-2
100422836,hsa-mir-3180-2
100422870,hsa-mir-3180-3
100422836,hsa-mir-3180-3
100500852,hsa-mir-3180-4
100500916,hsa-mir-3180-5
100422972,hsa-mir-3181
100422853,hsa-mir-3182
100422835,hsa-mir-3183
100422978,hsa-mir-3185
100422944,hsa-mir-3186
100422854,hsa-mir-3187
100422833,hsa-mir-3188
100422943,hsa-mir-3189
100422899,hsa-mir-3190
100422899,hsa-mir-3191
100422875,hsa-mir-3192
